Departamento,Gasto_Total
AMAZONAS,1077472883.13
ANCASH,2789434865.17
APURIMAC,1281631435.6
AREQUIPA,2878043767.06
AYACUCHO,2105192800.71
CAJAMARCA,3018305798.6700006
CUSCO,5069310013.619999
HUANCAVELICA,1418701800.22
HUANUCO,1684229828.6799998
ICA,1623584525.44
JUNIN,2286698522.5499997
LA LIBERTAD,3091650698.6500006
LAMBAYEQUE,1882395192.84
LIMA,79416948254.96999
LORETO,2097449615.2700002
MADRE DE DIOS,363635793.88
MOQUEGUA,978608281.9399999
PASCO,802187294.1400001
PIURA,3212188860.7400007
PROVINCIA CONSTITUCIONAL DEL CALLAO,4205407484.37
PUNO,2638518155.4099994
SAN MARTIN,1778105509.41
TACNA,1070815076.09
TUMBES,792123584.6099999
UCAYALI,1106334492.6499999
