Departamento,Gasto_Total
AMAZONAS,1450813623.3000002
ANCASH,3503719343.72
APURIMAC,1907442119.9800005
AREQUIPA,3987737306.6300006
AYACUCHO,2517375864.16
CAJAMARCA,3639037127.27
CUSCO,5067230053.01
HUANCAVELICA,1647464802.44
HUANUCO,2246805696.93
ICA,1757732962.7499998
JUNIN,3065195404.8099995
LA LIBERTAD,3633808107.83
LAMBAYEQUE,2249170612.82
LIMA,101086670364.44998
LORETO,2580370372.2599998
MADRE DE DIOS,492674886.36999995
MOQUEGUA,862984261.3100001
PASCO,965943646.0399998
PIURA,4091766542.91
PROVINCIA CONSTITUCIONAL DEL CALLAO,4126665666.5299997
PUNO,3118223358.6899996
SAN MARTIN,2215773160.42
TACNA,1086797067.4700003
TUMBES,725681794.1999999
UCAYALI,1399727906.61
