,Departamento,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023
0,AMAZONAS,766956091.63,846108029.8400003,1077472883.13,1038286109.2600002,1134645770.77,1329410400.7799995,1450813623.3000002,1394261073.8700006,1658180634.3700006,1800233722.4,1797287826.949999,2133818608.02
1,ANCASH,2938047354.73,2881532857.07,2789434865.17,2085970428.94,2320847433.12,2767996037.8100004,3503719343.72,3394691211.4300003,3665981917.540001,4543978149.4,5457101847.610001,5395627305.87
2,APURIMAC,946778138.27,1112898337.0600002,1281631435.6,1278947722.57,1543842023.23,1676273201.2099998,1907442119.9800005,1890042141.82,1956594508.04,2217754492.63,2679938940.17,2428437561.63
3,AREQUIPA,2411362620.25,2862110182.86,2878043767.06,2671285699.4100003,3105098967.87,3613858446.57,3987737306.6300006,3798916163.41,4222717696.270001,4906590472.13,5652414344.889998,5979078488.72
4,AYACUCHO,1518747871.35,1851253314.05,2105192800.71,2096319345.4400003,2018853574.15,2266508216.6600003,2517375864.16,2598253084.7500005,2935176256.5,3186731639.5800004,3295000692.7,3552889657.06
5,CAJAMARCA,2579457950.02,2861138482.85,3018305798.670001,2771900737.57,3076357029.0,3584678135.67,3639037127.27,3702236121.339999,4094484356.080001,4984126398.230001,5307941551.260001,5712042962.89
6,CUSCO,4346215768.04,5290811519.49,5069310013.619999,4333036524.02,4297952546.63,4191641333.46,5067230053.01,5152353827.84,5159768002.549999,6131693269.19,7555826039.86,8579814524.83
7,HUANCAVELICA,1220399511.0,1308746694.02,1418701800.22,1344841690.86,1431432491.79,1663316314.1900003,1647464802.44,1726207493.73,1820389603.1600008,2104353232.49,2104329747.88,2142992555.57
8,HUANUCO,1415266999.46,1620412146.23,1684229828.6799998,1636941386.0099998,1846865713.32,2044922800.76,2246805696.93,2230622380.1800003,2426429342.7500005,2586760781.27,2687383093.420001,2969316377.54
9,ICA,1308089293.15,1546620992.3,1623584525.44,1584238220.12,1531467306.6,1636457782.0799997,1757732962.7499998,1838341151.56,1967896317.32,2317460619.56,2968050514.4,3561907971.64
10,JUNIN,1807621260.29,1968501282.97,2286698522.55,2373440731.76,2611007828.15,2939699750.67,3065195404.8099995,3002478124.120001,3387105321.87,3777805490.69,4320659285.38,4843376220.39
11,LA LIBERTAD,2563470676.83,3123560884.57,3091650698.6500006,3179812860.27,3533566955.56,3497239999.83,3633808107.83,3928030656.95,4240404851.01,4842608577.32,5164076528.870001,5284537766.83
12,LAMBAYEQUE,1518074400.21,1802054381.03,1882395192.84,1932191728.2,2001741804.17,2147910484.32,2249170612.82,2289560260.76,2439716385.18,2831017067.5800004,2970893902.3500004,3296418657.37
13,LIMA,59741028883.99,68484993106.700005,79416948254.96999,87878763189.43001,86908135572.9,95982244483.01,101086670364.44998,101347810789.01,117771819293.71,125813057488.4,127129156559.88,133167817119.46
14,LORETO,1868462326.52,2013935051.31,2097449615.27,1961893877.3700004,2141735284.14,2442694914.98,2580370372.26,2750232936.0999994,3096715166.01,3452325473.78,4063141973.9499993,4092358174.93
15,MADRE DE DIOS,311972118.29,373754614.03,363635793.88,362919244.21,416245928.24,450775424.3500001,492674886.37,553419040.8900001,560495279.28,627480703.6100001,680550847.6399999,689037800.49
16,MOQUEGUA,880166296.08,973437237.22,978608281.94,743591606.6,887495627.49,913388310.42,862984261.3100001,925228458.76,989081363.2200004,1193316352.81,1424197790.4499998,1532229132.76
17,PASCO,814627803.89,929926306.79,802187294.1400001,850651360.43,945668646.21,944579215.2,965943646.0399998,1053193643.2900002,1047693785.72,1088222544.97,1256569698.4900002,1386738995.12
18,PIURA,2452904590.45,3048511333.6,3212188860.7400007,3056573260.04,3115060487.05,3397841631.8400006,4091766542.91,4227684405.28,4808339514.549999,5325394262.57,5814457079.49,6643626558.79
19,PROVINCIA CONSTITUCIONAL DEL CALLAO,3514653847.56,3738508141.32,4205407484.37,4695631765.969999,4212836269.82,4213295079.44,4126665666.53,4190370309.18,4328390196.14,4242552430.53,4887332371.01,6469330310.46
20,PUNO,2209073661.5,2514679876.410001,2638518155.4099994,2495383792.28,2722174916.03,3003645274.43,3118223358.69,3151672952.8200006,3573479081.3200006,3829584499.409999,4145724152.31,4514445833.18
21,SAN MARTIN,1373215691.71,1551380227.0099998,1778105509.41,2062969863.05,2025761539.36,2170546498.94,2215773160.42,2287337096.970001,2556021552.95,2782987272.6200004,2999696153.3100014,3175020202.0
22,TACNA,1051528610.41,1165100038.0399995,1070815076.09,917409355.82,954624983.04,1056257666.15,1086797067.4700005,1145183359.96,1316751423.34,1636661341.9900002,2021336484.4100003,1976312133.85
23,TUMBES,735913212.2,699812972.16,792123584.6099999,764652243.5099999,653534249.22,696904730.71,725681794.1999999,734727606.2800001,874912118.8,889142712.2,996623024.44,1226019828.77
24,UCAYALI,933522482.99,1068863337.88,1106334492.65,1038561071.3,1194589577.71,1347131976.64,1399727906.61,1766258039.0899997,1564406166.26,1710049409.4,1938872225.43,2247329499.05
