Departamento,Mes,Monto
AMAZONAS,1,27490060.64
AMAZONAS,2,41934217.86
AMAZONAS,3,61281728.949999996
AMAZONAS,4,52523021.370000005
AMAZONAS,5,49275468.650000006
AMAZONAS,6,50749027.26
AMAZONAS,7,62953769.10999999
AMAZONAS,8,61492355.72
AMAZONAS,9,66274243.56
AMAZONAS,10,54283992.730000004
AMAZONAS,11,73190115.58
AMAZONAS,12,165508090.2
ANCASH,1,96926989.56
ANCASH,2,162487611.01
ANCASH,3,199780243.77999997
ANCASH,4,189608495.81
ANCASH,5,197052721.05
ANCASH,6,228012069.97
ANCASH,7,257631457.89000002
ANCASH,8,271627985.73
ANCASH,9,235435463.64000002
ANCASH,10,239164335.01
ANCASH,11,275795026.0
ANCASH,12,584524955.28
APURIMAC,1,33923505.32
APURIMAC,2,38962374.36
APURIMAC,3,79105123.2
APURIMAC,4,48736998.94
APURIMAC,5,61840539.269999996
APURIMAC,6,80975505.74
APURIMAC,7,73061479.17999999
APURIMAC,8,101263269.03000002
APURIMAC,9,80906798.32
APURIMAC,10,81423313.25
APURIMAC,11,81399334.19
APURIMAC,12,185179897.47000003
AREQUIPA,1,109525293.2
AREQUIPA,2,162228733.88
AREQUIPA,3,205625307.04999998
AREQUIPA,4,150194353.51999998
AREQUIPA,5,176819177.83999997
AREQUIPA,6,186239211.04
AREQUIPA,7,202804603.34
AREQUIPA,8,228959508.10000002
AREQUIPA,9,205001700.45
AREQUIPA,10,203206988.83
AREQUIPA,11,200660903.11
AREQUIPA,12,380096839.89000005
AYACUCHO,1,46838264.13999999
AYACUCHO,2,68702023.96
AYACUCHO,3,111609935.57
AYACUCHO,4,88370400.64
AYACUCHO,5,126461542.32000001
AYACUCHO,6,118769978.91000001
AYACUCHO,7,122401711.64
AYACUCHO,8,105367007.57000001
AYACUCHO,9,121109725.38
AYACUCHO,10,137541014.16
AYACUCHO,11,161808665.67
AYACUCHO,12,309767601.39
CAJAMARCA,1,105549461.10000001
CAJAMARCA,2,152989909.25
CAJAMARCA,3,183067827.19
CAJAMARCA,4,171591252.41
CAJAMARCA,5,192511368.74
CAJAMARCA,6,214174824.65
CAJAMARCA,7,181661669.54999998
CAJAMARCA,8,253368523.37
CAJAMARCA,9,221115124.73000002
CAJAMARCA,10,241473164.70000002
CAJAMARCA,11,246880139.43
CAJAMARCA,12,415074684.90000004
CUSCO,1,91330556.11999999
CUSCO,2,207328849.65
CUSCO,3,287882626.56
CUSCO,4,247244880.26000002
CUSCO,5,291145380.13
CUSCO,6,264416906.17
CUSCO,7,410795530.19000006
CUSCO,8,343231324.23
CUSCO,9,327163148.41999996
CUSCO,10,407612117.66999996
CUSCO,11,388633504.28
CUSCO,12,1079430944.36
HUANCAVELICA,1,43713934.0
HUANCAVELICA,2,56117468.81
HUANCAVELICA,3,88838657.22999999
HUANCAVELICA,4,58010703.309999995
HUANCAVELICA,5,78614822.19999999
HUANCAVELICA,6,118877063.06
HUANCAVELICA,7,93685455.67
HUANCAVELICA,8,108507272.76
HUANCAVELICA,9,96438997.73
HUANCAVELICA,10,113894380.45
HUANCAVELICA,11,104456298.52000001
HUANCAVELICA,12,259244457.26
HUANUCO,1,40424295.099999994
HUANUCO,2,75333056.77
HUANUCO,3,96266988.28
HUANUCO,4,72101333.88
HUANUCO,5,113064723.7
HUANUCO,6,84008151.0
HUANUCO,7,111417847.96
HUANUCO,8,149040217.85
HUANUCO,9,98383400.02
HUANUCO,10,120284535.68
HUANUCO,11,150118628.17999998
HUANUCO,12,304823821.04
ICA,1,57606274.370000005
ICA,2,78673503.5
ICA,3,100972094.57000001
ICA,4,98401197.13
ICA,5,111711999.67
ICA,6,96806580.05
ICA,7,110348121.22
ICA,8,109723325.31
ICA,9,105524949.24
ICA,10,104011837.38
ICA,11,115889098.78
ICA,12,218420311.93
JUNIN,1,92677984.35000001
JUNIN,2,101400744.41
JUNIN,3,129247376.88000001
JUNIN,4,112483738.83
JUNIN,5,139748765.04000002
JUNIN,6,137239194.23
JUNIN,7,154736415.44
JUNIN,8,145605266.79999998
JUNIN,9,141216569.63
JUNIN,10,169167065.91
JUNIN,11,163006741.29000002
JUNIN,12,321091397.48
LA LIBERTAD,1,119223243.52000001
LA LIBERTAD,2,157891560.34999996
LA LIBERTAD,3,187231288.28
LA LIBERTAD,4,164805657.26999998
LA LIBERTAD,5,201760530.88
LA LIBERTAD,6,235057320.66
LA LIBERTAD,7,204801184.47
LA LIBERTAD,8,214619185.18
LA LIBERTAD,9,194437463.81
LA LIBERTAD,10,234527351.10999998
LA LIBERTAD,11,229972126.68
LA LIBERTAD,12,419143764.62
LAMBAYEQUE,1,68098203.22
LAMBAYEQUE,2,84616749.85
LAMBAYEQUE,3,105400569.94999999
LAMBAYEQUE,4,100626184.2
LAMBAYEQUE,5,102216048.79
LAMBAYEQUE,6,113699991.36000001
LAMBAYEQUE,7,205350733.51
LAMBAYEQUE,8,109707113.27
LAMBAYEQUE,9,97009329.72
LAMBAYEQUE,10,140432681.39999998
LAMBAYEQUE,11,124586057.27
LAMBAYEQUE,12,266330737.67
LIMA,1,3128041027.46
LIMA,2,5252998962.29
LIMA,3,3842988170.75
LIMA,4,4328226901.94
LIMA,5,4431731517.97
LIMA,6,4131401142.78
LIMA,7,4754895357.309999
LIMA,8,5136455492.48
LIMA,9,4919955044.04
LIMA,10,5373484051.67
LIMA,11,4935835376.08
LIMA,12,9505015839.220001
LORETO,1,111375829.53999999
LORETO,2,117367390.31
LORETO,3,170404996.64
LORETO,4,135109767.80999997
LORETO,5,147189524.04999998
LORETO,6,134011250.89
LORETO,7,161970865.58999997
LORETO,8,152343998.66
LORETO,9,179349602.03
LORETO,10,156189884.85
LORETO,11,172300556.72
LORETO,12,230848659.43
MADRE DE DIOS,1,16518129.98
MADRE DE DIOS,2,15827309.399999999
MADRE DE DIOS,3,22664653.690000005
MADRE DE DIOS,4,16491437.019999998
MADRE DE DIOS,5,21991273.72
MADRE DE DIOS,6,21354635.72
MADRE DE DIOS,7,29538564.77
MADRE DE DIOS,8,24330857.970000003
MADRE DE DIOS,9,26190579.34
MADRE DE DIOS,10,27120196.74
MADRE DE DIOS,11,29833889.279999997
MADRE DE DIOS,12,60110590.660000004
MOQUEGUA,1,21705723.53
MOQUEGUA,2,49741610.39
MOQUEGUA,3,63164131.24999999
MOQUEGUA,4,50790871.470000006
MOQUEGUA,5,60175122.71000001
MOQUEGUA,6,81762897.17999999
MOQUEGUA,7,70071269.56
MOQUEGUA,8,75328044.66
MOQUEGUA,9,71301117.42
MOQUEGUA,10,84408433.22
MOQUEGUA,11,82039944.83
MOQUEGUA,12,169677129.85999998
PASCO,1,20465391.39
PASCO,2,42602395.08
PASCO,3,64195990.59
PASCO,4,48980558.54
PASCO,5,57268208.97
PASCO,6,58486383.53000001
PASCO,7,61056098.34
PASCO,8,62639355.410000004
PASCO,9,63246385.38000001
PASCO,10,75210995.04
PASCO,11,74101554.14
PASCO,12,186374487.48
PIURA,1,102165699.49000001
PIURA,2,147735256.87
PIURA,3,184175257.2
PIURA,4,168046106.58
PIURA,5,184259547.96
PIURA,6,176277529.72000003
PIURA,7,211817136.7
PIURA,8,181081644.74
PIURA,9,191902931.33
PIURA,10,210798778.73999998
PIURA,11,252885161.84
PIURA,12,441759539.28
PROVINCIA CONSTITUCIONAL DEL CALLAO,1,205477658.86
PROVINCIA CONSTITUCIONAL DEL CALLAO,2,166898391.7
PROVINCIA CONSTITUCIONAL DEL CALLAO,3,293465869.67
PROVINCIA CONSTITUCIONAL DEL CALLAO,4,256951239.87
PROVINCIA CONSTITUCIONAL DEL CALLAO,5,237853883.39
PROVINCIA CONSTITUCIONAL DEL CALLAO,6,223821594.89
PROVINCIA CONSTITUCIONAL DEL CALLAO,7,244786117.17000002
PROVINCIA CONSTITUCIONAL DEL CALLAO,8,236902393.76999998
PROVINCIA CONSTITUCIONAL DEL CALLAO,9,268759804.71
PROVINCIA CONSTITUCIONAL DEL CALLAO,10,285527718.6
PROVINCIA CONSTITUCIONAL DEL CALLAO,11,400927641.08000004
PROVINCIA CONSTITUCIONAL DEL CALLAO,12,693281533.85
PUNO,1,80891217.86
PUNO,2,110179215.43
PUNO,3,169539856.23
PUNO,4,119621595.22
PUNO,5,141343991.5
PUNO,6,208732477.18
PUNO,7,175155203.10999998
PUNO,8,193015984.19
PUNO,9,174844136.36
PUNO,10,203925943.26000002
PUNO,11,186190440.43
PUNO,12,445633600.73
SAN MARTIN,1,63363648.04
SAN MARTIN,2,73325920.15
SAN MARTIN,3,97450394.74
SAN MARTIN,4,78361151.8
SAN MARTIN,5,110422051.13
SAN MARTIN,6,114032579.92999999
SAN MARTIN,7,102707560.82999998
SAN MARTIN,8,96840317.86
SAN MARTIN,9,107206502.18
SAN MARTIN,10,157853615.31
SAN MARTIN,11,177975949.75
SAN MARTIN,12,193675999.98999998
TACNA,1,34752820.05
TACNA,2,67694086.5
TACNA,3,87015603.61
TACNA,4,67977767.54
TACNA,5,85586663.82000001
TACNA,6,74440361.48
TACNA,7,93664363.32000001
TACNA,8,81889933.39
TACNA,9,87773655.1
TACNA,10,89501616.77
TACNA,11,81194037.64
TACNA,12,200037701.19000003
TUMBES,1,36950073.52
TUMBES,2,59774575.81
TUMBES,3,63573202.66
TUMBES,4,54608519.830000006
TUMBES,5,52864531.15
TUMBES,6,52995312.56
TUMBES,7,52693141.14
TUMBES,8,63260939.67
TUMBES,9,60869031.63
TUMBES,10,76884727.21000001
TUMBES,11,62533716.70999999
TUMBES,12,98905440.31
UCAYALI,1,39030342.69
UCAYALI,2,47074397.879999995
UCAYALI,3,79410765.35
UCAYALI,4,58537190.48
UCAYALI,5,67234240.45
UCAYALI,6,66807406.0
UCAYALI,7,75241686.4
UCAYALI,8,72882380.62
UCAYALI,9,81309492.72999999
UCAYALI,10,84185610.62
UCAYALI,11,87216211.42
UCAYALI,12,174592758.35000002
