AMAZONAS,-5.25,-78.257
ANCASH,-9.108,-77.7
APURIMAC,-13.9,-73.0
AREQUIPA,-15.8,-72.2
AYACUCHO,-14,-74.223
CAJAMARCA,-6.6,-78.7
CUSCO,-13.530,-71.6
HUANCAVELICA,-12.773,-75.2
HUANUCO,-9.5,-76.242
ICA,-14,-75.752
JUNIN,-11.332,-75.202
LA LIBERTAD,-7.8,-78.7
LAMBAYEQUE,-6.2,-79.929
LIMA,-11.6,-76.8
LORETO,-4.047,-75
MADRE DE DIOS,-11.8,-70.5
MOQUEGUA,-16.7,-71.0
PASCO,-10.1,-75.210
PIURA,-4.9,-80.5
PUNO,-14.4,-70.3
SAN MARTIN,-6.519,-76.756
TACNA,-17.5,-70.4
TUMBES,-3.566,-80.7
UCAYALI,-9.7,-73.5
CALLAO,-12.045,-77.135
